"Drug","Groups","Indication"
"Enflurane","approved","Used for the induction and maintenance of general anaesthesia during surgery and cesarean section and also used for analgesia during vaginal delivery."
"Cefotiam","approved","For treatment of severe infections caused by susceptible bacteria."
"Pregabalin","approved/illicit/investigational","Pregabalin is used for the management of neuropathic pain associated with diabetic peripheral neuropathy or spinal cord injury, and postherpetic neuralgia. It is also used as adjunctive therapy for adult patients with partial onset seizures and management of fibromyalgia. "
"Temazepam","approved","For the short-term treatment of insomnia (generally 7-10 days)."
"Methyclothiazide","approved","For use in the management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension. Also used as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy."
"Aminosalicylic Acid","approved","For the treatment of tuberculosis"
"Reboxetine","approved/investigational","For the treatment of clinical depression."
"Milrinone","approved","Indicated for the treatment of congestive heart failure."
"Butabarbital","approved/illicit","For short-term treatment of insomnia and anxiety disorders"
"Nevirapine","approved","For use in combination with other antiretroviral drugs in the ongoing treatment of HIV-1 infection."
"Oxiconazole","approved","For treatment of dermal fungal infection."
"Alclometasone","approved","For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses."
"Butalbital","approved/illicit","Used in combination with acetaminophen or aspirin and caffeine for its sedative and relaxant effects in the treatment of tension headaches, migraines, and pain."
"Cladribine","approved/investigational","For the treatment of active hairy cell leukemia (leukemic reticuloendotheliosis) as defined by clinically significant anemia, neutropenia, thrombocytopenia, or disease-related symptoms. Also used as an alternative agent for the treatment of chronic lymphocytic leukemia (CLL), low-grade non-Hodgkin's lymphoma, and cutaneous T-cell lymphoma."
"Ranolazine","approved/investigational","For the treatment of chronic angina. It should be used in combination with amlodipine, beta-blockers or nitrates."
"Mesalazine","approved","For the treatment of active ulcerative proctitis."
"Benzatropine","approved","For use as an adjunct in the therapy of all forms of parkinsonism and also for use in the control of extrapyramidal disorders due to neuroleptic drugs."
"Ziprasidone","approved","For the treatment of schizophrenia and related psychotic disorders."
"Methysergide","approved","For the treatment of vascular headache"
"Cabergoline","approved","For the treatment of hyperprolactinemic disorders, either idiopathic or due to prolactinoma (prolactin-secreting adenomas). May also be used to manage symptoms of Parkinsonian Syndrome as monotherapy during initial symptomatic management or as an adjunct to levodopa therapy during advanced stages of disease. "
"Idoxuridine","approved","For use in keratoconjunctivitis and keratitis caused by herpes simplex virus."
"Dapsone","approved/investigational","For the treatment and management of leprosy and dermatitis herpetiformis."
"Terconazole","approved","For the treatment of candidiasis (a yeast-like fungal infection) of the vulva and vagina."
"Phenytoin","approved","For the control of generalized tonic-clonic (grand mal) and complex partial (psychomotor, temporal lobe) seizures and prevention and treatment of seizures occurring during or following neurosurgery."
"Medrysone","approved","For the treatment of allergic conjunctivitis, vernal conjunctivitis, episcleritis, and epinephrine sensitivity."
"Doxycycline","approved/investigational","Doxycycline is indicated for use in respiratory tract infections caused by Mycoplasma pneumoniae, Haemophilus influenzae, Streptococcus pneumoniae, Legionella spp., or Klebsiella spp. It is also used for prophylaxis of malaria. Doxycycline is indicated for a variety of bacterial infections, from Mycobacterium fortuitum and M. marinum, to susceptible E. coli and Brucella spp. It can be used as an alternative to treating plague, tetanus, Campylobacter fetus 
"
"Diethylstilbestrol","approved","Used in the treatment of prostate cancer. Previously used in the prevention of miscarriage or premature delivery in pregnant women prone to miscarriage or premature delivery."
"Lymecycline","approved","For the treatment of infections and to treat acne. It may also be used to treat urinary tract infections, gum disease, and other bacterial infections such as gonorrhea and chlamydia. Lymecycline is also used commonly as a prophylactic treatment for infection by <i>Bacillus anthracis</i> (anthrax). It is also effective against <i>Yersinia pestis</i> and malaria and is also prescribed for the treatment of Lyme disease."
"Clotrimazole","approved","For the local treatment of oropharyngeal candidiasis and vaginal yeast infections, also used in fungal infections of the skin such as ringworm, athlete's foot, and jock itch."
"Sulfanilamide","approved","For the treatment of vulvovaginitis caused by <i>Candida albicans</i>."
"Cycloserine","approved","Used in combination with up to 5 other drugs as a treatment for Mycobacterium avium complex (MAC) and is also used to treat tuberculosis (TB)."
"Anagrelide","approved","For the treatment of patients with thrombocythemia, secondary to myeloproliferative disorders, to reduce the elevated platelet count and the risk of thrombosis and to ameliorate associated symptoms including thrombo-hemorrhagic events."
"Carmustine","approved","For the treatment of brain tumors, multiple myeloma, Hodgkin's disease and Non-Hodgkin's lymphomas."
"Sulfisoxazole","approved","For the treatment of severe, repeated, or long-lasting urinary tract infections, meningococcal meningitis, acute otitis media, trachoma, inclusion conjunctivitis, nocardiosis, chancroid, toxoplasmosis, malaria and other bacterial infections."
"Metoprolol","approved/investigational","For the management of acute myocardial infarction, angina pectoris, heart failure and mild to moderate hypertension. May be used to treat supraventricular and tachyarrhythmias and as prophylaxis for migraine headaches."
"Dicoumarol","approved","For decreasing blood clotting. Often used along with heparin for treatment of deep vein thrombosis."
"Cefmenoxime","approved","Used to treat female gynecologic and obstetric infections caused by susceptible aerobic (including the gonococcus) and anaerobic bacteria."
"Ropinirole","approved/investigational","For the treatment of the signs and symptoms of idiopathic Parkinson's disease. Also used for the treatment of restless legs syndrome."
"Chlorotrianisene","withdrawn","Used to treat symptoms of menopause, deficiencies in ovary function (including underdevelopment of female sexual characteristics and some types of infertility), and in rare cases, prostate cancer. Chlorotrianisene may also be used to prevent breast engorgement following childbirth."
"Isradipine","approved","For the management of mild to moderate essential hypertension. It may be used alone or concurrently with thiazide-type diuretics."
